insere discentes nome:Joao
insere discentes nome:Felipe
insere discentes nome:Igor
insere identidades grr:GRR20171234; cpf:"123.123.123-01"
insere identidades grr:GRR20160000; cpf:"123.123.123-02"
insere identidades grr:GRR20154242; cpf:"123.123.123-03"
altera identidades id:1; discente_id:1
altera identidades id:2; discente_id:3
altera identidades id:3; discente_id:2
insere disciplinas nome:Algoritmos I; carga_horaria: 60
insere disciplinas nome:Algoritmos II; carga_horaria: 60
insere disciplinas nome:Algoritmos III; carga_horaria: 60
insere disciplinas nome:Software Basico; carga_horaria: 60
insere docentes nome:Roberto Hexsel
insere docentes nome: Elias Procopio Duarte Junior
altera disciplinas id:1; docente_id:2
altera disciplinas id:2; docente_id:2
altera disciplinas id:3; docente_id:2
altera disciplinas id:4; docente_id:1
insere discentes_disciplinas discente_id:1; disciplina_id:1
insere discentes_disciplinas discente_id:2; disciplina_id:1
insere discentes_disciplinas discente_id:2; disciplina_id:2
insere discentes_disciplinas discente_id:3; disciplina_id:1
